"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0AD10","2020-04-05 00:00:00","27.000","33.000","2.400","17.400","0.680","1018.000","","1.000","-99.000","-99.000","-99.000","17.900","","16.600",""
"C0Z300","2020-04-05 00:00:00","182.000","29.000","1.300","16.800","0.990","1001.000","","2.000","-99.000","-99.000","-99.000","22.700","","16.800",""
"C0T9E0","2020-04-05 00:00:00","415.000","28.000","1.800","14.900","0.950","974.400","","2.000","-99.000","-99.000","-99.000","18.000","","14.900",""
"C0D550","2020-04-05 00:00:00","1956.000","0.000","0.000","9.800","0.960","813.500","","1.000","-99.000","-99.000","-99.000","16.000","","9.400",""
"C0C630","2020-04-05 00:00:00","209.000","55.000","2.100","15.600","0.720","996.500","","0.500","-99.000","-99.000","-99.000","16.800","","14.600",""
"C0U960","2020-04-05 00:00:00","1885.000","344.000","0.900","8.900","0.990","817.200","","3.000","-99.000","-99.000","-99.000","12.700","","6.500",""
"C0V730","2020-04-05 00:00:00","33.000","337.000","2.100","20.600","0.780","1013.800","","0.000","-99.000","-99.000","-99.000","29.300","","20.500",""
"C0H9A0","2020-04-05 00:00:00","1595.000","0.000","0.000","11.900","0.980","848.700","","0.500","-99.000","-99.000","-99.000","20.800","","11.600",""
"C0S840","2020-04-05 00:00:00","22.000","33.000","2.100","22.100","0.830","1018.300","","0.000","-99.000","-99.000","-99.000","26.600","","21.000",""
"C0Z150","2020-04-05 00:00:00","27.000","23.000","5.500","19.700","0.710","1018.500","","0.500","-99.000","-99.000","-99.000","21.900","","19.100",""
"C0W170","2020-04-05 00:00:00","42.000","28.000","5.200","14.200","0.680","1018.000","","0.000","-99.000","-99.000","-99.000","14.500","","12.300",""
"C0E540","2020-04-05 00:00:00","32.000","46.000","4.700","17.200","0.700","1016.600","","0.000","-99.000","-99.000","-99.000","20.600","","17.100",""
"C0D660","2020-04-05 00:00:00","65.000","61.000","2.000","16.900","0.690","1013.000","","0.000","-99.000","-99.000","-99.000","18.700","","16.900",""
"C0U650","2020-04-05 00:00:00","442.000","277.000","1.200","12.500","1.000","971.300","","10.500","-99.000","-99.000","-99.000","18.000","","12.500",""
"C0G810","2020-04-05 00:00:00","26.000","2.000","1.400","18.200","0.760","1015.200","","0.000","-99.000","-99.000","-99.000","24.300","","18.100",""
"C0F9Z0","2020-04-05 00:00:00","3193.000","267.000","2.600","4.700","0.710","696.900","","0.000","-99.000","-99.000","-99.000","9.700","","3.000",""
"C0M410","2020-04-05 00:00:00","245.000","2.000","0.900","19.000","0.920","985.300","","0.000","-99.000","-99.000","-99.000","28.500","","18.700",""
"C0I410","2020-04-05 00:00:00","180.000","359.000","1.600","17.300","0.800","997.100","","0.000","-99.000","-99.000","-99.000","25.500","","17.300",""
"C0R840","2020-04-05 00:00:00","536.000","47.000","6.900","17.200","-99.000","957.400","","0.500","-99.000","-99.000","-99.000","22.800","","17.200",""
"C0K250","2020-04-05 00:00:00","12.000","16.000","4.700","17.500","0.730","1017.300","","0.000","-99.000","-99.000","-99.000","24.300","","17.400",""
"C0AH80","2020-04-05 00:00:00","68.000","0.000","0.200","14.900","0.970","1013.300","","0.500","-99.000","-99.000","-99.000","17.100","","14.900",""
"C0V640","2020-04-05 00:00:00","35.000","5.000","3.600","18.900","0.820","1013.500","","0.000","-99.000","-99.000","-99.000","27.700","","18.900",""
"C0S920","2020-04-05 00:00:00","98.000","0.000","0.200","19.800","0.970","1003.600","","0.000","-99.000","-99.000","-99.000","26.300","","19.800",""
"C0S830","2020-04-05 00:00:00","288.000","0.000","0.200","17.200","0.950","988.800","","0.000","-99.000","-99.000","-99.000","23.200","","17.200",""
"C0V800","2020-04-05 00:00:00","256.000","217.000","0.700","22.100","0.820","986.000","","0.000","-99.000","-99.000","-99.000","28.900","","19.900",""
"C0R140","2020-04-05 00:00:00","740.000","354.000","0.900","17.600","0.940","936.000","","0.000","-99.000","-99.000","-99.000","24.300","","17.300",""
"C0K410","2020-04-05 00:00:00","20.000","17.000","3.300","17.500","0.720","1015.100","","0.000","-99.000","-99.000","-99.000","24.000","","17.500",""
"C0F000","2020-04-05 00:00:00","273.000","28.000","3.500","15.100","0.990","983.900","","0.000","-99.000","-99.000","-99.000","21.600","","15.000",""
"C0W150","2020-04-05 00:00:00","42.000","48.000","6.900","16.400","0.470","1017.300","","0.000","12.900","78.000","","19.200","","15.300",""
"C0AH90","2020-04-05 00:00:00","660.000","0.000","0.100","11.600","0.990","948.800","","0.000","-99.000","-99.000","-99.000","17.100","","11.600",""
"C0F9K0","2020-04-05 00:00:00","30.000","29.000","4.100","17.200","0.700","1014.100","","0.000","-99.000","-99.000","-99.000","21.200","","17.000",""
"C0H990","2020-04-05 00:00:00","3076.000","223.000","7.000","3.400","0.990","707.000","","1.000","-99.000","-99.000","-99.000","6.400","","3.400",""
"C0V260","2020-04-05 00:00:00","126.000","177.000","0.900","19.600","0.830","1002.600","","0.000","-99.000","-99.000","-99.000","31.500","","19.500",""
